時間,設備,值
2024-10-19 09:56:56,SA-01/LED_LEVEL,1
2024-10-19 09:56:56,SA-01/LED_LEVEL,2
2024-10-19 09:57:02,SA-01/LED_LEVEL,3
2024-10-19 09:57:03,SA-01/LED_LEVEL,4
2024-10-19 09:57:05,SA-01/LED_LEVEL,5
2024-10-19 09:57:06,SA-01/LED_LEVEL,6
2024-10-19 09:57:07,SA-01/LED_LEVEL,7
2024-10-19 09:57:08,SA-01/LED_LEVEL,8
2024-10-19 09:57:08,SA-01/LED_LEVEL,9
2024-10-19 09:57:21,SA-01/LED_LEVEL,8
2024-10-19 09:57:23,SA-01/LED_LEVEL,7
2024-10-19 09:57:24,SA-01/LED_LEVEL,6
2024-10-19 09:57:25,SA-01/LED_LEVEL,5
2024-10-19 09:57:26,SA-01/LED_LEVEL,4
2024-10-19 09:57:28,SA-01/LED_LEVEL,3
2024-10-19 09:57:28,SA-01/LED_LEVEL,4
2024-10-19 09:57:29,SA-01/LED_LEVEL,5
2024-10-19 09:57:39,SA-01/LED_LEVEL,4
2024-10-19 09:57:39,SA-01/LED_LEVEL,3
2024-10-19 10:01:17,SA-01/LED_LEVEL,4
2024-10-19 10:01:20,SA-01/LED_LEVEL,5
2024-10-19 10:01:20,SA-01/LED_LEVEL,6
2024-10-19 10:01:21,SA-01/LED_LEVEL,7
2024-10-19 10:01:22,SA-01/LED_LEVEL,8
2024-10-19 10:01:23,SA-01/LED_LEVEL,9
2024-10-19 10:01:23,SA-01/LED_LEVEL,8
2024-10-19 10:01:24,SA-01/LED_LEVEL,7
2024-10-19 10:01:24,SA-01/LED_LEVEL,6
2024-10-19 10:01:25,SA-01/LED_LEVEL,5
2024-10-19 10:01:26,SA-01/LED_LEVEL,4
2024-10-19 10:01:26,SA-01/LED_LEVEL,3
2024-10-19 10:01:27,SA-01/LED_LEVEL,2
